Symbol,Exp000978,Exp000979,Exp000980,Exp000977
TMA16,8.38868052895,7.99104229737,8.20133433521,8.46204563321
RPL31,6.80428435942,6.34693288895,0,6.37986675116
FGF2,0,0,5.67529276353,5.96405021519
LHX4,7.13476180206,7.19373524098,6.90706657541,0
CLK3,6.6850259381,0,0,7.20095898991
RPL22L1,7.29885470901,0,0,6.01135671976
POP7,7.21578392999,5.95595389669,6.20399244512,7.16231674982
KAT2A,7.93164813265,7.90663347475,7.74340150501,8.04170307746
RMI1,6.71325045882,0,0,0
ZBED4,7.11705864437,8.04143616001,7.88944366156,6.6507629639
PRR12,7.29464386677,0,7.05961448804,7.68739582677
ZNF146,7.7855354307,7.03322344164,7.37057495288,7.51757803604
ASXL2,7.07822678031,7.32428082005,7.19323803895,7.24648222513
MAP1B,7.3426431599,7.26744764973,7.54959497618,7.69487840929
XRCC3,0,0,0,7.51751618155
HSP90AA1,7.5688590384,7.81518254117,7.89022816014,7.40950787609
PNISR,6.5192223485,0,0,0
RALYL,6.92299856165,6.31815486859,6.46648760065,6.99982554075
RPL10A,7.30321685238,6.86120349767,0,7.16189204482
RPL11,6.57063384714,0,6.7742207735,6.4996425709
RPL13,0,7.36313424621,0,0
RPL7,7.23533414975,7.01827832674,0,6.26294822775
RPL8,0,7.06007300376,0,6.62940712828
KRT14,8.04097803451,8.51791532807,8.53227030735,8.25998800642
KRT38,0,7.35555082745,0,0
PTTG2,0,0,5.97802712844,0
KHSRP,7.02561142511,7.28363661587,7.60507519311,7.42706214444
KANSL2,5.69953330168,0,0,0
DDX51,7.51040089623,0,0,0
C17orf80,0,6.34561509216,0,0
ALX1,7.08714292781,6.86961916524,6.84555685896,0
ZNF593,6.05910016449,0,0,0
ASUN,8.34542392332,8.3419511699,7.31528941652,7.65704035871
MED7,7.85593828537,7.45175002797,7.63522177124,7.91183438442
PDS5A,7.97138137259,8.01512693888,8.08605063185,7.89236588297
SMC5,7.19114249864,0,0,7.09434368835
SLC25A5,8.1647334671,7.6684998473,7.89067628129,8.04058055805
SLC25A6,7.84920122662,7.30862828782,7.43297134788,7.59672503896
ERF,7.6004822684,6.65768577418,5.80667520313,6.60276781964
GTF2F1,7.25088805882,0,0,0
GTF3C4,8.43405404469,8.01570222887,8.19157747389,8.65587489825
CCDC59,6.49367960306,0,0,6.00045374112
CXXC1,0,0,6.7914435235,6.75977908686
EHMT2,0,7.11483484143,0,0
KLF3,7.9053159846,7.69269900432,7.58974853862,7.25756339631
THOC7,8.62285562805,7.93347392489,8.28301999419,7.07670478315
HNRNPR,0,8.19270596698,0,0
MUS81,0,0,6.60391636247,0
HIST3H2A,8.70934668059,7.7952152156,7.55422992026,8.11399239792
KRT71,0,6.61505943097,0,0
TFB1M,7.13230599593,6.56191896036,7.04012570393,7.09381806469
TADA2B,8.47913811723,7.42283058254,7.63554865801,7.78536579687
PARP1,11.6492991667,11.5471751509,11.3115627009,11.4327301562
PHF21A,7.68607653108,7.62988416251,7.45540580428,7.63285462731
TOE1,6.08460662534,0,0,7.07081911398
PDHB,7.61305600363,6.72508724907,7.36502789504,0
PSMD8,0,0,6.04045403601,5.74736624111
PSMA4,0,6.4633327579,7.01153729335,0
GIGYF2,0,5.94335754189,5.92067268799,0
BARD1,7.42095733786,6.2650511722,6.24133677281,7.07336587772
OTUD6B,0,5.78618967783,6.6366635701,0
NUBPL,0,6.76893094896,6.95295292867,6.92300677123
C4orf27,6.99267999463,6.75686177284,6.83925710257,0
HNRNPM,10.2623240572,9.87262893106,9.8890249376,10.3234615828
